index,build,test_index,PARALLEL,CPU,WINDOW,CONGESTION,NODELAY,THROUGHPUT,run_index
0,IPerf,0,1,1,1,bbr,Nagle disabled,20237516.8,0
1,IPerf,1,2,1,1,bbr,Nagle disabled,49178214.4,0
2,IPerf,2,3,1,1,bbr,Nagle disabled,71722598.4,0
3,IPerf,3,4,1,1,bbr,Nagle disabled,90806681.6,0
4,IPerf,4,5,1,1,bbr,Nagle disabled,122683392.0,0
5,IPerf,5,6,1,1,bbr,Nagle disabled,134217728.0,0
6,IPerf,6,7,1,1,bbr,Nagle disabled,184549376.0,0
7,IPerf,7,8,1,1,bbr,Nagle disabled,208666624.0,0
8,IPerf,8,1,2,1,bbr,Nagle disabled,19713228.8,0
9,IPerf,9,2,2,1,bbr,Nagle disabled,45088768.0,0
10,IPerf,10,3,2,1,bbr,Nagle disabled,69625446.4,0
11,IPerf,11,4,2,1,bbr,Nagle disabled,94791270.4,0
12,IPerf,12,5,2,1,bbr,Nagle disabled,124780544.0,0
13,IPerf,13,6,2,1,bbr,Nagle disabled,137363456.0,0
14,IPerf,14,7,2,1,bbr,Nagle disabled,165675008.0,0
15,IPerf,15,8,2,1,bbr,Nagle disabled,173015040.0,0
16,IPerf,16,1,3,1,bbr,Nagle disabled,19713228.8,0
17,IPerf,17,2,3,1,bbr,Nagle disabled,42991616.0,0
18,IPerf,18,3,3,1,bbr,Nagle disabled,69625446.4,0
19,IPerf,19,4,3,1,bbr,Nagle disabled,94162124.8,0
20,IPerf,20,5,3,1,bbr,Nagle disabled,118489088.0,0
21,IPerf,21,6,3,1,bbr,Nagle disabled,130023424.0,0
22,IPerf,22,7,3,1,bbr,Nagle disabled,163577856.0,0
23,IPerf,23,8,3,1,bbr,Nagle disabled,198180864.0,0
24,IPerf,24,1,4,1,bbr,Nagle disabled,19608371.2,0
25,IPerf,25,2,4,1,bbr,Nagle disabled,43620761.6,0
26,IPerf,26,3,4,1,bbr,Nagle disabled,66479718.4,0
27,IPerf,27,4,4,1,bbr,Nagle disabled,92064972.8,0
28,IPerf,28,5,4,1,bbr,Nagle disabled,117440512.0,0
29,IPerf,29,6,4,1,bbr,Nagle disabled,136314880.0,0
30,IPerf,30,7,4,1,bbr,Nagle disabled,166723584.0,0
31,IPerf,31,8,4,1,bbr,Nagle disabled,198180864.0,0
32,IPerf,32,1,5,1,bbr,Nagle disabled,18979225.6,0
33,IPerf,33,2,5,1,bbr,Nagle disabled,41313894.4,0
34,IPerf,34,3,5,1,bbr,Nagle disabled,59034828.8,0
35,IPerf,35,4,5,1,bbr,Nagle disabled,83990937.6,0
36,IPerf,36,5,5,1,bbr,Nagle disabled,111149056.0,0
37,IPerf,37,6,5,1,bbr,Nagle disabled,136314880.0,0
38,IPerf,38,7,5,1,bbr,Nagle disabled,158334976.0,0
39,IPerf,39,8,5,1,bbr,Nagle disabled,187695104.0,0
40,IPerf,40,1,6,1,bbr,Nagle disabled,22334668.8,0
41,IPerf,41,2,6,1,bbr,Nagle disabled,38063308.8,0
42,IPerf,42,3,6,1,bbr,Nagle disabled,70464307.2,0
43,IPerf,43,4,6,1,bbr,Nagle disabled,81474355.2,0
44,IPerf,44,5,6,1,bbr,Nagle disabled,104123596.8,0
45,IPerf,45,6,6,1,bbr,Nagle disabled,128974848.0,0
46,IPerf,46,7,6,1,bbr,Nagle disabled,150994944.0,0
47,IPerf,47,8,6,1,bbr,Nagle disabled,185597952.0,0
48,IPerf,48,1,7,1,bbr,Nagle disabled,19188940.8,0
49,IPerf,49,2,7,1,bbr,Nagle disabled,41943040.0,0
50,IPerf,50,3,7,1,bbr,Nagle disabled,62809702.4,0
51,IPerf,51,4,7,1,bbr,Nagle disabled,83047219.2,0
52,IPerf,52,5,7,1,bbr,Nagle disabled,104857600.0,0
53,IPerf,53,6,7,1,bbr,Nagle disabled,135266304.0,0
54,IPerf,54,7,7,1,bbr,Nagle disabled,160432128.0,0
55,IPerf,55,8,7,1,bbr,Nagle disabled,187695104.0,0
56,IPerf,56,1,8,1,bbr,Nagle disabled,19608371.2,0
57,IPerf,57,2,8,1,bbr,Nagle disabled,43096473.6,0
58,IPerf,58,3,8,1,bbr,Nagle disabled,58510540.8,0
59,IPerf,59,4,8,1,bbr,Nagle disabled,84829798.4,0
60,IPerf,60,5,8,1,bbr,Nagle disabled,115343360.0,0
61,IPerf,61,6,8,1,bbr,Nagle disabled,127926272.0,0
62,IPerf,62,7,8,1,bbr,Nagle disabled,157286400.0,0
63,IPerf,63,8,8,1,bbr,Nagle disabled,177209344.0,0
64,IPerf,64,1,1,2,bbr,Nagle disabled,20132659.2,0
65,IPerf,65,2,1,2,bbr,Nagle disabled,46451916.8,0
66,IPerf,66,3,1,2,bbr,Nagle disabled,74344038.4,0
67,IPerf,67,4,1,2,bbr,Nagle disabled,93532979.2,0
68,IPerf,68,5,1,2,bbr,Nagle disabled,121634816.0,0
69,IPerf,69,6,1,2,bbr,Nagle disabled,141557760.0,0
70,IPerf,70,7,1,2,bbr,Nagle disabled,170917888.0,0
71,IPerf,71,8,1,2,bbr,Nagle disabled,193986560.0,0
72,IPerf,72,1,2,2,bbr,Nagle disabled,20237516.8,0
73,IPerf,73,2,2,2,bbr,Nagle disabled,42362470.4,0
74,IPerf,74,3,2,2,bbr,Nagle disabled,67004006.4,0
75,IPerf,75,4,2,2,bbr,Nagle disabled,93532979.2,0
76,IPerf,76,5,2,2,bbr,Nagle disabled,122683392.0,0
77,IPerf,77,6,2,2,bbr,Nagle disabled,125829120.0,0
78,IPerf,78,7,2,2,bbr,Nagle disabled,167772160.0,0
79,IPerf,79,8,2,2,bbr,Nagle disabled,195035136.0,0
80,IPerf,80,1,3,2,bbr,Nagle disabled,19188940.8,0
81,IPerf,81,2,3,2,bbr,Nagle disabled,42991616.0,0
82,IPerf,82,3,3,2,bbr,Nagle disabled,73924608.0,0
83,IPerf,83,4,3,2,bbr,Nagle disabled,98461286.4,0
84,IPerf,84,5,3,2,bbr,Nagle disabled,124780544.0,0
85,IPerf,85,6,3,2,bbr,Nagle disabled,136314880.0,0
86,IPerf,86,7,3,2,bbr,Nagle disabled,163577856.0,0
87,IPerf,87,8,3,2,bbr,Nagle disabled,195035136.0,0
88,IPerf,88,1,4,2,bbr,Nagle disabled,18454937.6,0
89,IPerf,89,2,4,2,bbr,Nagle disabled,41313894.4,0
90,IPerf,90,3,4,2,bbr,Nagle disabled,70569164.8,0
91,IPerf,91,4,4,2,bbr,Nagle disabled,86088089.6,0
92,IPerf,92,5,4,2,bbr,Nagle disabled,116391936.0,0
93,IPerf,93,6,4,2,bbr,Nagle disabled,134217728.0,0
94,IPerf,94,7,4,2,bbr,Nagle disabled,171966464.0,0
95,IPerf,95,8,4,2,bbr,Nagle disabled,189792256.0,0
96,IPerf,96,1,5,2,bbr,Nagle disabled,20656947.2,0
97,IPerf,97,2,5,2,bbr,Nagle disabled,39111884.8,0
98,IPerf,98,3,5,2,bbr,Nagle disabled,63648563.2,0
99,IPerf,99,4,5,2,bbr,Nagle disabled,89233817.6,0
100,IPerf,100,5,5,2,bbr,Nagle disabled,109051904.0,0
101,IPerf,101,6,5,2,bbr,Nagle disabled,143654912.0,0
102,IPerf,102,7,5,2,bbr,Nagle disabled,156237824.0,0
103,IPerf,103,8,5,2,bbr,Nagle disabled,183500800.0,0
104,IPerf,104,1,6,2,bbr,Nagle disabled,19188940.8,0
105,IPerf,105,2,6,2,bbr,Nagle disabled,42991616.0,0
106,IPerf,106,3,6,2,bbr,Nagle disabled,58510540.8,0
107,IPerf,107,4,6,2,bbr,Nagle disabled,83152076.8,0
108,IPerf,108,5,6,2,bbr,Nagle disabled,112197632.0,0
109,IPerf,109,6,6,2,bbr,Nagle disabled,128974848.0,0
110,IPerf,110,7,6,2,bbr,Nagle disabled,153092096.0,0
111,IPerf,111,8,6,2,bbr,Nagle disabled,183500800.0,0
112,IPerf,112,1,7,2,bbr,Nagle disabled,19713228.8,0
113,IPerf,113,2,7,2,bbr,Nagle disabled,38902169.6,0
114,IPerf,114,3,7,2,bbr,Nagle disabled,59034828.8,0
115,IPerf,115,4,7,2,bbr,Nagle disabled,79796633.6,0
116,IPerf,116,5,7,2,bbr,Nagle disabled,106954752.0,0
117,IPerf,117,6,7,2,bbr,Nagle disabled,133169152.0,0
118,IPerf,118,7,7,2,bbr,Nagle disabled,162529280.0,0
119,IPerf,119,8,7,2,bbr,Nagle disabled,180355072.0,0
120,IPerf,120,1,8,2,bbr,Nagle disabled,19713228.8,0
121,IPerf,121,2,8,2,bbr,Nagle disabled,40370176.0,0
122,IPerf,122,3,8,2,bbr,Nagle disabled,61656268.8,0
123,IPerf,123,4,8,2,bbr,Nagle disabled,88185241.6,0
124,IPerf,124,5,8,2,bbr,Nagle disabled,108003328.0,0
125,IPerf,125,6,8,2,bbr,Nagle disabled,147849216.0,0
126,IPerf,126,7,8,2,bbr,Nagle disabled,158334976.0,0
127,IPerf,127,8,8,2,bbr,Nagle disabled,183500800.0,0
128,IPerf,128,1,1,4,bbr,Nagle disabled,21286092.8,0
129,IPerf,129,2,1,4,bbr,Nagle disabled,48863641.6,0
130,IPerf,130,3,1,4,bbr,Nagle disabled,76336332.8,0
131,IPerf,131,4,1,4,bbr,Nagle disabled,100873011.2,0
132,IPerf,132,5,1,4,bbr,Nagle disabled,113246208.0,0
